Employee Number,Job Role,Department,Business Travel,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager,Total Working Years,Job Level,Performance Rating,Job Satisfaction,Environment Satisfaction,Work Life Balance,Relationship Satisfaction,Job Involvement,Training Times Last Year,Over Time
374,Manager,R&D,Travel_Rarely,36,10,4,13,37,5,3,1,4,3,3,3,2,Yes
376,Manager,R&D,Non-Travel,10,7,9,9,10,3,3,2,1,2,4,3,2,Yes
377,Research Scientist,R&D,Travel_Rarely,5,2,0,4,5,1,4,4,4,2,4,3,3,No
378,Sales Executive,Sales,Travel_Rarely,5,4,0,1,7,2,3,4,3,4,2,3,5,No
379,Research Scientist,R&D,Travel_Rarely,3,2,1,0,3,1,3,3,4,4,1,2,4,No
380,Research Director,R&D,Non-Travel,5,2,0,2,15,3,3,4,1,3,1,3,2,Yes
381,Manager,R&D,Travel_Rarely,7,7,6,2,10,3,3,2,2,2,2,4,6,No
382,Sales Executive,Sales,Travel_Rarely,8,0,7,7,8,2,4,1,1,3,3,4,3,Yes
384,Manufacturing Director,R&D,Travel_Frequently,6,5,1,4,6,2,4,2,3,1,1,3,6,No
385,Research Director,R&D,Travel_Rarely,10,4,1,6,28,5,3,2,1,2,1,3,4,No
386,Research Director,R&D,Travel_Rarely,5,3,1,3,21,4,3,3,3,2,4,3,5,Yes
387,Sales Executive,Sales,Travel_Rarely,20,16,11,6,20,2,4,3,2,3,3,3,3,No
388,Sales Executive,Sales,Travel_Frequently,10,7,0,9,10,2,3,4,2,2,1,3,3,No
389,Laboratory Technician,R&D,Travel_Rarely,10,7,0,8,12,2,3,4,2,3,4,3,4,Yes
390,Healthcare Representative,R&D,Travel_Frequently,5,3,3,3,5,2,3,1,1,3,3,3,3,Yes
391,Research Scientist,R&D,Travel_Rarely,17,12,5,7,17,1,3,4,4,3,2,3,3,No
392,Laboratory Technician,R&D,Travel_Frequently,1,0,0,0,19,1,4,3,4,1,4,3,0,Yes
393,Healthcare Representative,R&D,Travel_Rarely,2,2,1,2,10,2,3,4,4,3,2,3,2,No
394,Laboratory Technician,R&D,Travel_Rarely,3,2,0,2,5,1,3,2,1,3,4,3,2,Yes
395,Research Scientist,R&D,Travel_Rarely,5,3,0,2,5,1,4,4,4,3,4,3,3,No
396,Research Director,R&D,Travel_Frequently,3,2,1,2,22,5,3,1,3,3,4,3,4,Yes
397,Research Scientist,R&D,Travel_Rarely,8,0,7,7,10,2,3,2,3,3,4,3,2,No
399,Sales Representative,Sales,Travel_Frequently,2,2,2,2,2,1,3,2,4,2,3,3,5,No
401,Sales Executive,Sales,Travel_Rarely,8,7,7,4,8,2,3,4,4,3,2,2,0,Yes
403,Research Scientist,R&D,Travel_Frequently,4,2,1,2,4,1,3,4,2,2,3,3,3,Yes
404,Sales Executive,Sales,Travel_Frequently,20,4,4,8,23,4,3,2,3,4,4,3,2,No
405,Laboratory Technician,R&D,Travel_Rarely,0,0,0,0,0,1,3,3,3,3,3,3,2,No
406,Sales Executive,Sales,Travel_Rarely,11,9,6,9,12,3,3,2,3,2,3,3,3,No
407,Laboratory Technician,R&D,Travel_Frequently,1,0,0,0,4,1,3,4,3,3,4,4,2,No
408,Manufacturing Director,R&D,Travel_Rarely,4,1,1,2,13,2,3,2,4,3,4,1,3,No
410,Manager,Sales,Travel_Rarely,22,10,0,4,22,4,3,2,4,3,2,3,2,No
411,Sales Representative,Sales,Travel_Rarely,0,0,0,0,0,1,3,3,4,3,1,2,2,No
412,Healthcare Representative,R&D,Travel_Rarely,8,3,0,7,9,2,3,1,2,3,3,4,2,No
416,Sales Executive,Sales,Travel_Rarely,8,7,7,7,10,2,3,4,2,2,2,4,3,No
417,Healthcare Representative,R&D,Travel_Rarely,18,10,3,7,19,3,3,4,3,2,1,4,5,No
419,Laboratory Technician,R&D,Non-Travel,9,8,0,8,11,2,3,2,2,3,3,3,3,No
420,Sales Executive,Sales,Travel_Rarely,13,8,4,8,13,2,3,3,4,2,3,2,3,No
421,Research Director,R&D,Travel_Rarely,10,8,0,1,19,3,3,2,1,3,3,2,2,No
422,Healthcare Representative,R&D,Non-Travel,5,3,1,2,12,2,3,3,4,3,4,1,2,Yes
423,Research Scientist,R&D,Travel_Rarely,5,2,0,3,6,1,3,4,3,3,3,3,4,Yes
424,Human Resources,HR,Travel_Rarely,2,2,1,0,9,2,3,1,1,3,4,2,1,No
425,Laboratory Technician,R&D,Travel_Frequently,24,9,9,11,24,3,3,1,1,3,1,3,2,No
426,Research Scientist,R&D,Travel_Rarely,2,2,2,2,3,1,3,4,3,1,2,3,2,Yes
428,Manager,R&D,Travel_Frequently,10,6,8,8,12,3,3,2,4,3,2,3,2,No
429,Manager,R&D,Travel_Rarely,21,9,11,10,21,4,3,1,3,3,4,3,3,Yes
430,Laboratory Technician,R&D,Travel_Frequently,8,7,1,7,9,1,3,4,3,3,1,3,5,No
431,Healthcare Representative,R&D,Travel_Rarely,7,1,0,7,25,4,3,3,3,3,4,2,2,Yes
433,Research Scientist,R&D,Travel_Rarely,8,2,7,7,11,2,3,2,3,2,1,2,3,No
434,Research Scientist,R&D,Travel_Rarely,4,3,1,2,4,1,3,2,3,2,2,3,2,Yes
436,Sales Executive,Sales,Travel_Rarely,13,12,11,9,13,2,3,2,3,3,4,2,2,Yes
437,Sales Executive,Sales,Travel_Rarely,5,4,0,4,5,2,3,3,4,3,1,3,3,Yes
438,Sales Executive,Sales,Travel_Rarely,7,7,1,7,13,2,3,4,4,3,4,3,3,No
439,Research Scientist,R&D,Travel_Rarely,7,7,0,7,10,2,3,4,1,2,3,4,0,No
440,Research Scientist,R&D,Travel_Rarely,3,2,2,2,5,1,3,4,1,2,4,1,4,Yes
441,Research Scientist,R&D,Travel_Rarely,10,8,1,9,11,2,3,4,4,3,4,3,2,No
442,Manufacturing Director,R&D,Travel_Frequently,10,9,8,9,10,3,4,3,3,3,1,2,2,No
444,Manager,R&D,Travel_Frequently,21,9,13,3,21,5,3,4,3,3,1,2,2,No
445,Sales Executive,Sales,Travel_Rarely,1,0,0,0,12,2,3,3,4,2,1,3,3,Yes
446,Sales Executive,Sales,Travel_Frequently,7,7,0,1,9,2,3,4,2,2,3,2,6,No
447,Research Director,R&D,Travel_Rarely,3,2,1,1,21,5,3,3,4,3,2,3,2,No
448,Laboratory Technician,R&D,Travel_Frequently,9,7,0,0,9,2,3,3,3,4,2,2,3,No
449,Sales Executive,Sales,Non-Travel,5,4,1,4,6,2,3,2,3,3,4,3,0,Yes
450,Research Scientist,R&D,Travel_Frequently,4,3,0,3,20,2,3,3,4,2,4,3,4,No
451,Healthcare Representative,R&D,Travel_Rarely,1,0,0,0,10,3,3,1,3,2,1,3,1,No
452,Research Scientist,R&D,Travel_Rarely,10,9,9,8,12,2,3,4,4,3,1,3,3,No
453,Sales Executive,Sales,Travel_Rarely,4,3,0,2,6,2,4,4,2,2,3,1,2,Yes
454,Laboratory Technician,R&D,Travel_Rarely,7,7,0,7,7,1,3,1,2,2,4,1,4,Yes
455,Laboratory Technician,R&D,Travel_Rarely,3,2,2,2,4,1,3,4,2,3,3,2,2,No
456,Sales Executive,Sales,Travel_Rarely,10,9,1,2,10,2,3,3,4,3,3,2,2,No
458,Sales Executive,Sales,Travel_Rarely,8,7,0,7,8,2,3,2,2,3,1,3,3,No
460,Manufacturing Director,R&D,Travel_Rarely,6,2,0,4,8,2,3,4,4,2,3,3,2,No
461,Research Director,R&D,Travel_Rarely,11,10,2,9,12,3,3,4,3,3,2,2,3,Yes
462,Manufacturing Director,R&D,Travel_Rarely,11,9,4,10,11,3,3,4,3,2,3,3,2,Yes
463,Sales Executive,Sales,Travel_Rarely,7,7,1,7,7,2,3,2,4,3,1,2,2,Yes
464,Manufacturing Director,R&D,Travel_Rarely,16,6,0,13,17,3,3,2,3,3,4,3,5,No
465,Research Scientist,R&D,Travel_Rarely,4,2,0,2,4,1,3,4,3,2,3,3,2,No
466,Manufacturing Director,R&D,Travel_Rarely,5,4,1,2,8,2,3,2,4,3,4,2,3,Yes
467,Sales Representative,Sales,Travel_Frequently,0,0,0,0,5,2,3,3,2,3,1,3,3,No
468,Research Director,R&D,Travel_Rarely,1,0,0,0,16,4,3,4,1,3,2,3,2,No
469,Sales Executive,Sales,Non-Travel,4,3,0,2,4,2,3,3,4,2,1,3,3,No
470,Human Resources,HR,Travel_Rarely,3,2,1,0,4,1,3,3,3,3,3,3,5,Yes
471,Laboratory Technician,R&D,Travel_Rarely,8,0,0,7,8,1,3,2,3,3,3,3,4,No
473,Manager,Sales,Travel_Rarely,0,0,0,0,15,3,4,3,1,1,2,3,3,No
474,Research Scientist,R&D,Travel_Rarely,7,7,6,7,13,2,3,1,3,3,1,4,2,Yes
475,Sales Executive,Sales,Non-Travel,2,2,2,2,4,2,3,3,4,4,2,3,2,Yes
476,Sales Executive,Sales,Travel_Rarely,8,7,7,7,8,2,3,3,3,3,2,3,3,No
477,Healthcare Representative,R&D,Travel_Rarely,1,0,0,0,14,2,4,4,1,3,2,2,6,No
478,Sales Representative,Sales,Travel_Frequently,3,2,1,2,3,1,3,2,1,3,3,2,3,Yes
479,Sales Executive,Sales,Non-Travel,1,0,0,0,7,2,3,4,4,3,2,3,6,No
481,Sales Executive,Sales,Travel_Frequently,13,9,1,12,16,3,3,4,1,3,1,2,2,No
482,Healthcare Representative,R&D,Travel_Rarely,3,2,1,2,15,2,3,3,4,3,3,3,2,No
483,Laboratory Technician,R&D,Travel_Rarely,7,7,1,7,10,1,3,3,4,3,3,4,3,Yes
484,Sales Representative,Sales,Non-Travel,3,2,2,2,3,1,4,4,1,2,3,3,3,No
485,Sales Representative,Sales,Travel_Rarely,1,0,0,0,1,1,3,3,4,3,2,3,2,Yes
486,Laboratory Technician,R&D,Travel_Rarely,5,4,0,3,17,1,4,1,3,3,2,3,3,No
487,Manufacturing Director,R&D,Non-Travel,1,0,0,0,7,2,3,3,3,4,3,3,2,No
488,Sales Executive,Sales,Travel_Frequently,8,7,7,7,8,2,3,2,1,3,3,3,5,No
491,Healthcare Representative,R&D,Travel_Rarely,4,3,1,3,20,3,3,4,4,3,4,2,2,No
492,Sales Executive,Sales,Travel_Rarely,6,4,1,0,8,2,3,3,3,3,1,2,6,Yes
493,Research Scientist,R&D,Travel_Rarely,2,2,2,2,3,1,3,2,3,3,4,2,5,Yes
494,Sales Representative,Sales,Travel_Rarely,1,0,0,0,1,1,3,2,3,3,4,4,0,No
495,Research Scientist,R&D,Travel_Rarely,3,2,1,2,6,1,3,4,4,3,4,3,4,No
496,Healthcare Representative,R&D,Travel_Rarely,1,1,0,0,10,2,3,2,3,3,3,2,5,No
497,Laboratory Technician,R&D,Travel_Rarely,5,2,0,4,5,1,3,2,4,3,2,3,2,No
498,Sales Executive,Sales,Travel_Rarely,7,5,0,7,7,2,3,4,2,3,4,3,1,No
499,Healthcare Representative,R&D,Travel_Rarely,5,2,0,0,26,3,4,3,2,3,3,2,2,No
500,Sales Executive,Sales,Travel_Rarely,7,7,0,7,18,2,3,4,3,2,3,3,2,No
501,Research Scientist,R&D,Travel_Rarely,2,2,2,2,6,1,3,3,4,3,2,3,3,No
502,Sales Executive,Sales,Non-Travel,5,2,0,4,9,2,3,4,1,2,2,4,3,Yes
505,Manager,R&D,Travel_Rarely,5,4,1,2,30,4,3,4,3,3,3,3,2,Yes
507,Sales Executive,Sales,Travel_Rarely,5,2,0,3,5,2,3,3,4,4,4,3,2,Yes
508,Sales Representative,Sales,Travel_Rarely,1,0,0,0,1,1,3,2,3,3,1,3,3,No
510,Research Scientist,R&D,Travel_Frequently,6,4,0,4,7,1,4,1,3,3,3,3,2,No
511,Research Scientist,R&D,Travel_Rarely,2,1,1,2,2,1,3,2,1,3,4,3,1,No
513,Sales Executive,Sales,Travel_Rarely,10,9,9,0,10,3,3,3,2,3,2,2,2,No
514,Research Scientist,R&D,Travel_Frequently,1,0,0,0,3,1,4,4,3,3,3,3,4,Yes
515,Laboratory Technician,R&D,Travel_Rarely,18,7,12,17,18,1,3,1,4,2,3,3,2,No
516,Sales Executive,Sales,Travel_Rarely,5,4,1,3,8,2,3,2,4,3,3,3,5,No
517,Laboratory Technician,R&D,Travel_Rarely,5,2,1,2,8,1,3,1,2,3,2,3,5,No
518,Manufacturing Director,R&D,Travel_Rarely,1,0,0,1,18,2,3,2,3,2,4,3,2,Yes
520,Research Director,R&D,Travel_Rarely,25,10,3,9,25,4,3,2,1,3,3,2,3,No
521,Laboratory Technician,R&D,Travel_Rarely,1,0,0,0,20,2,4,3,2,3,2,2,3,No
522,Research Director,R&D,Travel_Rarely,4,2,1,2,24,5,3,1,1,2,3,3,4,No
523,Sales Executive,Sales,Non-Travel,3,2,1,2,6,2,3,3,3,3,1,3,3,No
524,Manufacturing Director,R&D,Travel_Rarely,13,10,3,12,13,2,3,1,2,1,2,3,5,No
525,Laboratory Technician,R&D,Travel_Frequently,3,2,1,2,8,1,4,4,4,3,1,3,1,No
526,Healthcare Representative,R&D,Travel_Rarely,5,2,0,2,8,2,3,3,3,3,4,3,3,Yes
527,Sales Executive,Sales,Travel_Rarely,5,4,1,3,5,2,3,4,2,3,2,2,3,Yes
529,Research Scientist,R&D,Non-Travel,13,11,10,7,15,2,3,3,2,3,1,3,2,Yes
530,Laboratory Technician,R&D,Travel_Rarely,4,2,3,2,4,1,3,1,4,3,3,2,3,No
531,Manager,R&D,Travel_Frequently,21,8,1,6,21,5,3,3,2,3,3,3,3,Yes
532,Sales Executive,Sales,Travel_Frequently,7,7,7,7,36,4,3,1,3,2,4,4,0,No
533,Sales Executive,Sales,Travel_Rarely,5,4,4,4,6,2,3,3,2,3,2,3,6,No
534,Sales Executive,Sales,Travel_Rarely,10,7,0,7,10,3,3,1,2,3,3,4,2,No
536,Laboratory Technician,R&D,Travel_Rarely,10,0,1,8,10,2,3,1,3,3,4,3,2,No
538,Laboratory Technician,R&D,Travel_Rarely,2,2,0,2,6,1,3,1,1,3,3,3,5,No
543,Manufacturing Director,R&D,Travel_Rarely,5,4,0,4,28,3,3,3,4,3,3,2,4,Yes
544,Research Scientist,R&D,Travel_Rarely,2,2,0,2,8,1,4,4,1,2,4,3,3,No
546,Manager,R&D,Travel_Rarely,5,2,1,4,31,4,3,4,4,1,4,3,2,No
547,Research Scientist,R&D,Travel_Frequently,5,4,0,2,19,2,3,3,1,3,2,3,3,No
548,Manufacturing Director,R&D,Travel_Rarely,5,4,0,2,11,2,4,4,3,3,3,1,2,No
549,Manager,R&D,Travel_Rarely,29,8,11,10,33,5,3,1,1,1,4,3,5,No
550,Manufacturing Director,R&D,Travel_Rarely,10,7,0,8,19,2,3,3,3,2,3,3,5,No
551,Healthcare Representative,R&D,Travel_Frequently,6,5,0,4,7,2,3,4,4,4,4,2,4,No
554,Sales Representative,Sales,Travel_Rarely,5,3,1,4,6,1,3,2,1,3,2,3,4,Yes
555,Sales Representative,Sales,Travel_Frequently,2,2,1,0,3,1,3,3,4,2,4,1,3,No
556,Laboratory Technician,R&D,Travel_Frequently,1,0,0,0,1,1,4,4,4,3,3,3,3,Yes
558,Manager,Sales,Travel_Rarely,20,15,1,12,21,5,3,3,3,3,4,3,2,No
560,Research Scientist,R&D,Travel_Rarely,3,2,0,2,3,1,4,4,1,1,2,3,3,No
562,Laboratory Technician,R&D,Non-Travel,5,3,1,4,9,1,3,4,3,1,3,3,3,No
564,Research Director,R&D,Travel_Rarely,10,2,0,7,10,3,3,3,2,3,3,2,2,No
565,Research Scientist,R&D,Travel_Rarely,2,2,1,1,6,1,3,2,3,4,2,2,2,No
566,Human Resources,HR,Travel_Rarely,1,0,0,0,1,1,3,4,1,4,3,2,3,No
567,Sales Executive,Sales,Non-Travel,9,8,7,8,10,3,3,1,3,3,3,3,3,No
568,Manager,Sales,Travel_Rarely,1,0,0,0,32,4,3,4,1,2,3,2,3,No
569,Manager,R&D,Travel_Rarely,27,10,15,7,28,4,3,3,2,3,2,2,2,No
571,Laboratory Technician,R&D,Non-Travel,11,7,6,7,12,1,3,4,3,2,3,3,2,No
573,Sales Executive,Sales,Travel_Frequently,18,13,13,11,22,3,3,1,3,4,4,2,5,No
574,Manufacturing Director,R&D,Travel_Rarely,5,0,0,4,20,2,3,4,1,3,3,3,2,No
575,Research Director,R&D,Travel_Rarely,3,2,0,1,26,4,3,3,1,1,3,3,2,No
577,Laboratory Technician,R&D,Travel_Rarely,5,4,4,3,6,1,3,3,4,3,3,1,2,No
578,Laboratory Technician,R&D,Travel_Rarely,1,0,0,0,19,2,3,3,3,3,3,3,3,No
579,Research Scientist,R&D,Travel_Rarely,7,3,5,7,14,1,3,3,4,3,3,2,3,No
580,Sales Executive,Sales,Travel_Rarely,3,2,1,2,15,3,3,4,3,3,3,2,3,Yes
581,Manufacturing Director,R&D,Travel_Rarely,13,8,0,8,13,3,4,2,3,4,4,3,6,No
582,Manager,R&D,Travel_Rarely,7,6,7,7,15,3,3,3,2,4,4,3,2,Yes
584,Laboratory Technician,R&D,Travel_Rarely,4,3,1,3,8,1,3,4,1,3,1,1,2,No
585,Sales Representative,Sales,Travel_Rarely,3,2,1,2,4,1,3,2,4,3,1,3,3,No
586,Healthcare Representative,R&D,Travel_Rarely,8,7,0,0,10,3,3,3,4,3,3,3,2,Yes
587,Healthcare Representative,R&D,Travel_Frequently,1,0,0,0,12,3,3,3,1,3,1,3,2,No
590,Human Resources,HR,Travel_Frequently,3,2,0,2,11,3,3,1,2,3,3,3,2,Yes
591,Laboratory Technician,R&D,Travel_Frequently,2,2,2,0,8,1,3,3,2,3,4,3,4,No
592,Sales Executive,Sales,Non-Travel,10,3,9,7,10,3,3,4,2,2,4,3,3,No
593,Laboratory Technician,R&D,Travel_Frequently,2,2,1,2,4,1,3,3,3,3,3,2,3,No
595,Sales Executive,Sales,Travel_Rarely,9,7,6,7,14,2,3,4,2,3,1,3,2,No
597,Manager,Sales,Travel_Rarely,10,9,7,7,37,4,4,2,1,3,4,3,2,No
599,Sales Executive,Sales,Non-Travel,14,3,1,10,16,2,3,4,4,3,4,3,3,No
600,Sales Executive,Sales,Travel_Rarely,11,9,6,9,15,2,3,3,2,3,3,3,2,No
601,Manufacturing Director,R&D,Travel_Rarely,20,6,5,13,22,4,3,3,2,3,3,3,3,No
602,Laboratory Technician,R&D,Travel_Frequently,8,3,0,7,8,1,3,3,3,3,1,3,3,No
604,Sales Executive,Sales,Travel_Rarely,6,5,0,5,10,2,3,4,2,4,3,3,2,Yes
605,Manufacturing Director,R&D,Travel_Rarely,10,9,5,8,10,3,4,1,4,2,4,3,5,Yes
606,Sales Executive,Sales,Travel_Rarely,8,7,3,7,9,2,3,2,4,4,2,3,3,No
608,Human Resources,HR,Travel_Frequently,7,7,1,0,8,1,3,3,2,2,2,3,2,Yes
611,Manufacturing Director,R&D,Travel_Rarely,3,2,1,2,8,2,3,4,4,4,2,3,2,No
612,Research Director,R&D,Travel_Rarely,6,1,0,5,10,4,3,3,1,3,3,4,2,No
613,Manager,Sales,Travel_Rarely,5,4,0,1,10,3,4,4,3,2,3,2,3,No
614,Sales Representative,Sales,Travel_Frequently,0,0,0,0,0,1,3,2,2,3,4,3,3,Yes
615,Sales Executive,Sales,Non-Travel,1,0,0,1,20,3,3,1,3,3,3,1,2,No
616,Healthcare Representative,R&D,Non-Travel,8,7,0,7,10,2,3,3,1,3,1,2,3,Yes
618,Sales Executive,Sales,Travel_Rarely,0,0,0,0,8,2,3,3,1,3,1,3,5,No
620,Sales Executive,Sales,Travel_Rarely,5,4,0,3,5,2,3,3,1,3,4,3,3,No
621,Sales Executive,Sales,Travel_Rarely,10,7,5,7,10,2,3,4,4,3,4,4,3,No
622,Laboratory Technician,R&D,Travel_Rarely,1,0,0,0,1,1,3,4,3,1,2,1,3,Yes
623,Manufacturing Director,R&D,Travel_Rarely,6,5,1,2,12,3,3,4,2,4,4,3,3,No
624,Healthcare Representative,R&D,Travel_Frequently,2,2,1,2,28,3,3,3,1,2,4,3,3,No
625,Manager,Sales,Travel_Rarely,18,16,11,8,22,4,3,1,2,3,2,3,2,No
626,Sales Executive,Sales,Non-Travel,9,5,7,7,9,3,3,2,1,3,4,3,6,No
630,Research Scientist,R&D,Travel_Rarely,10,9,6,9,18,2,3,1,4,3,2,3,3,Yes
631,Sales Executive,Sales,Non-Travel,4,2,1,2,6,2,3,3,4,3,4,4,2,No
632,Sales Representative,Sales,Travel_Frequently,2,2,2,1,3,1,3,4,4,3,3,3,3,No
634,Healthcare Representative,R&D,Travel_Rarely,1,0,0,0,18,2,3,3,3,3,3,3,4,No
635,Manufacturing Director,R&D,Travel_Rarely,6,5,4,3,8,2,3,2,2,2,2,3,2,No
638,Research Director,R&D,Travel_Rarely,31,9,0,9,31,5,3,3,4,3,3,2,5,Yes
639,Research Scientist,R&D,Travel_Rarely,6,5,1,4,6,1,3,4,2,3,2,4,3,Yes
641,Sales Executive,Sales,Travel_Rarely,5,3,1,4,6,2,4,2,1,4,4,3,5,No
643,Laboratory Technician,R&D,Travel_Rarely,1,0,0,0,1,1,4,2,4,3,4,2,2,No
644,Manager,HR,Travel_Frequently,32,5,10,7,32,5,3,2,1,3,3,3,2,No
645,Sales Representative,Sales,Travel_Rarely,7,4,0,6,7,1,3,3,2,3,3,3,1,No
647,Laboratory Technician,R&D,Travel_Frequently,6,3,1,2,6,1,3,3,1,3,4,3,4,Yes
648,Sales Representative,Sales,Travel_Frequently,1,0,0,0,1,1,3,1,2,4,3,2,2,No
649,Research Scientist,R&D,Travel_Rarely,6,5,1,3,6,1,3,4,2,3,4,2,3,Yes
650,Sales Executive,Sales,Travel_Rarely,3,1,1,2,9,2,3,1,2,1,3,3,2,No
652,Laboratory Technician,R&D,Travel_Rarely,3,2,0,2,9,2,3,4,1,3,4,2,3,No
653,Sales Executive,Sales,Travel_Rarely,7,7,5,7,13,2,4,4,1,4,4,4,4,No
655,Research Scientist,R&D,Travel_Rarely,5,3,0,3,6,1,3,3,1,2,3,2,5,No
656,Sales Executive,Sales,Travel_Rarely,3,0,1,0,17,2,3,3,4,2,3,3,3,Yes
657,Research Scientist,R&D,Travel_Rarely,1,0,0,0,1,1,3,2,4,4,4,2,0,No
659,Healthcare Representative,R&D,Travel_Rarely,10,2,2,2,10,2,3,4,3,3,2,3,4,No
661,Research Director,R&D,Travel_Rarely,1,0,0,0,21,4,3,4,2,2,3,2,3,Yes
662,Research Scientist,R&D,Travel_Rarely,0,0,0,0,8,1,3,1,3,2,4,3,3,No
663,Laboratory Technician,R&D,Travel_Frequently,8,7,4,7,10,2,3,3,4,3,2,3,3,Yes
664,Manager,R&D,Travel_Rarely,3,2,0,2,21,4,3,1,4,1,1,2,3,No
665,Human Resources,HR,Travel_Rarely,2,2,0,2,10,2,3,3,1,4,2,2,1,No
666,Sales Representative,Sales,Travel_Rarely,8,2,0,6,8,1,3,3,3,3,4,3,3,Yes
667,Sales Representative,Sales,Travel_Rarely,4,3,0,2,5,1,3,1,3,3,2,3,3,No
669,Sales Representative,Sales,Travel_Rarely,3,2,1,2,3,1,3,3,3,3,3,3,2,No
671,Manager,R&D,Travel_Rarely,2,2,0,1,26,5,3,4,4,4,1,3,2,Yes
675,Research Scientist,R&D,Travel_Rarely,2,2,2,2,3,1,4,3,1,3,4,3,3,No
677,Sales Executive,Sales,Travel_Rarely,5,0,1,2,6,2,3,3,3,3,4,3,3,No
679,Research Scientist,R&D,Travel_Rarely,6,4,0,5,6,2,3,4,1,2,4,3,2,Yes
680,Research Scientist,R&D,Travel_Frequently,1,0,0,0,1,1,4,3,3,3,3,3,2,No
682,Sales Executive,Sales,Travel_Rarely,14,7,8,10,18,2,4,1,4,4,4,3,2,No
683,Research Scientist,R&D,Travel_Rarely,10,9,8,8,10,1,3,4,2,2,4,3,4,No
684,Sales Executive,Sales,Travel_Frequently,1,1,0,0,5,2,3,1,1,3,4,3,4,No
686,Laboratory Technician,R&D,Travel_Rarely,3,2,0,2,3,1,3,4,3,3,3,3,2,Yes
689,Manufacturing Director,R&D,Travel_Rarely,10,7,7,8,10,3,3,3,3,3,3,3,2,No
690,Sales Executive,Sales,Travel_Rarely,6,0,1,2,6,2,3,3,2,2,1,3,5,No
691,Research Scientist,R&D,Travel_Rarely,17,11,11,8,17,2,3,4,2,3,2,1,3,No
692,Healthcare Representative,R&D,Travel_Frequently,13,11,4,7,15,2,4,4,3,1,3,3,2,No
698,Human Resources,HR,Travel_Rarely,9,7,7,1,16,3,3,2,3,4,3,3,1,No
699,Manufacturing Director,R&D,Travel_Rarely,3,2,0,2,13,2,3,2,2,3,3,2,2,Yes
700,Research Scientist,R&D,Travel_Rarely,4,2,1,1,5,1,3,4,1,3,4,2,0,No
701,Research Scientist,R&D,Travel_Rarely,1,0,1,1,1,1,3,3,4,3,4,3,5,Yes
702,Research Scientist,R&D,Travel_Frequently,10,8,9,7,10,1,3,1,1,3,1,3,3,Yes
704,Laboratory Technician,R&D,Non-Travel,1,0,0,0,1,1,3,3,3,3,3,2,3,No
705,Research Scientist,R&D,Travel_Rarely,3,2,0,2,5,1,3,1,1,4,1,4,3,No
707,Sales Executive,Sales,Travel_Rarely,3,2,1,2,4,2,4,2,4,3,3,4,4,No
709,Sales Executive,Sales,Travel_Rarely,7,7,0,5,8,2,4,4,4,3,1,2,2,No
710,Research Scientist,R&D,Travel_Frequently,10,7,2,8,10,1,3,4,2,3,4,1,5,No
712,Sales Executive,Sales,Travel_Rarely,2,2,2,2,12,2,3,2,2,3,4,4,3,No
714,Sales Executive,Sales,Travel_Frequently,6,5,0,4,6,2,4,4,4,3,2,4,3,Yes
715,Research Scientist,R&D,Travel_Rarely,1,0,0,0,4,1,3,4,4,3,1,4,2,No
716,Laboratory Technician,R&D,Travel_Rarely,20,8,3,8,20,1,3,3,4,3,3,4,3,Yes
717,Healthcare Representative,R&D,Travel_Rarely,8,7,7,7,9,3,3,2,4,4,2,2,3,No
720,Sales Executive,Sales,Travel_Rarely,2,2,2,0,4,2,3,3,1,3,1,3,3,No
721,Healthcare Representative,R&D,Travel_Rarely,20,7,11,10,20,2,3,3,4,3,1,2,4,No
722,Sales Executive,Sales,Travel_Rarely,10,7,0,8,10,2,3,4,4,2,4,3,2,No
723,Sales Executive,Sales,Travel_Frequently,4,3,1,3,18,2,3,3,2,3,1,3,4,Yes
724,Healthcare Representative,R&D,Travel_Rarely,9,7,1,8,10,2,3,4,2,2,3,4,4,No
725,Manufacturing Director,R&D,Travel_Rarely,9,7,0,7,9,3,3,1,3,3,4,3,3,No
727,Research Director,R&D,Travel_Rarely,7,7,7,7,10,3,3,4,3,3,4,3,6,No
728,Sales Executive,Sales,Travel_Rarely,7,7,1,7,20,2,3,1,4,3,4,3,2,No
729,Sales Executive,Sales,Travel_Frequently,18,13,1,12,20,3,4,1,4,3,3,2,2,Yes
730,Research Director,R&D,Travel_Rarely,5,1,1,3,32,4,3,3,3,3,3,4,3,No
731,Manager,HR,Travel_Rarely,21,6,12,6,23,5,3,4,2,2,2,2,2,No
732,Sales Executive,Sales,Travel_Rarely,2,2,2,2,10,2,3,1,1,3,4,3,1,No
733,Manufacturing Director,R&D,Travel_Frequently,9,7,1,7,9,3,4,1,4,2,3,3,4,No
734,Manager,HR,Travel_Rarely,22,7,2,10,22,5,3,3,4,3,2,2,3,No
738,Sales Representative,Sales,Travel_Rarely,2,2,2,2,4,1,3,2,4,3,4,3,2,No
741,Research Scientist,R&D,Travel_Rarely,7,7,3,7,10,1,3,2,1,3,4,1,4,Yes
742,Research Director,R&D,Non-Travel,8,7,0,5,10,3,3,1,1,3,1,4,2,No
743,Manufacturing Director,R&D,Travel_Rarely,1,0,0,0,10,3,3,3,3,4,4,3,4,Yes
744,Laboratory Technician,R&D,Non-Travel,5,2,1,4,9,1,3,3,1,3,3,1,5,No
