Job Role,Employee Number,Years In Current Role,Department,Years At Company,Job Involvement,Business Travel,Monthly Income,Job Level,Total Working Years,Daily Rate,Hourly Rate,Monthly Rate,Percent Salary Hike,Num Companies Worked,Stock Option Level,Standard Hours,Training Times Last Year,Years Since Last Promotion,Years With Curr Manager
Research Scientist,334,0,R&D,1,3,Travel_Rarely,3072,2,17,1411,36,19877,16,2,2,80,2,0,0
Research Scientist,335,8,R&D,9,3,Travel_Rarely,3319,2,9,1300,62,24447,17,1,2,80,3,4,7
Manager,336,0,R&D,24,4,Travel_Rarely,19202,5,25,252,70,15970,11,0,1,80,2,1,7
Research Director,337,2,R&D,2,3,Travel_Frequently,13675,3,9,1327,73,13523,12,9,1,80,3,2,2
Research Scientist,338,2,R&D,2,2,Travel_Rarely,2911,1,2,832,63,14776,13,1,1,80,2,0,2
Manufacturing Director,339,9,R&D,11,2,Travel_Rarely,5957,2,13,470,84,23687,13,6,1,80,3,5,9
Research Scientist,340,1,R&D,3,2,Travel_Rarely,3920,1,17,1017,83,18697,14,2,1,80,2,0,2
Manufacturing Director,341,2,R&D,3,4,Travel_Frequently,6434,2,9,1199,77,5118,17,4,1,80,1,0,2
Manufacturing Director,342,0,R&D,1,3,Travel_Frequently,10048,3,17,504,61,22573,11,6,2,80,5,0,0
Healthcare Representative,343,6,R&D,19,3,Travel_Frequently,10938,3,20,505,64,6420,25,0,0,80,1,11,8
Research Scientist,346,5,R&D,6,3,Travel_Rarely,2340,1,6,665,60,22673,19,1,0,80,1,1,5
Research Scientist,347,2,R&D,3,4,Travel_Rarely,6545,2,10,916,82,23016,13,3,0,80,1,0,2
Sales Executive,349,2,Sales,3,3,Travel_Rarely,6931,2,10,1247,45,10732,14,2,1,80,2,0,2
Manufacturing Director,350,2,R&D,4,3,Travel_Rarely,4898,2,5,685,62,7505,12,0,2,80,3,1,2
Laboratory Technician,351,6,R&D,9,2,Travel_Rarely,2593,1,10,269,56,8007,11,0,1,80,4,7,8
Research Director,352,7,R&D,21,3,Travel_Rarely,19436,5,22,1416,49,5949,19,0,1,80,5,3,9
Research Scientist,353,0,R&D,1,3,Travel_Rarely,2723,1,1,833,96,23231,11,1,0,80,0,0,0
Laboratory Technician,355,4,R&D,5,2,Travel_Frequently,3479,1,6,307,71,11652,11,0,0,80,2,1,4
Laboratory Technician,359,1,R&D,5,4,Travel_Frequently,2794,1,5,1311,100,26062,20,1,0,80,3,0,3
Sales Executive,361,7,Sales,8,2,Non-Travel,5249,2,13,1327,39,19682,18,3,1,80,0,7,5
Laboratory Technician,362,2,R&D,6,2,Travel_Rarely,2176,2,9,128,84,19737,13,4,0,80,5,0,4
Manager,363,7,Sales,7,1,Travel_Rarely,16872,4,28,488,75,14977,12,3,1,80,2,7,7
Laboratory Technician,364,0,R&D,0,3,Travel_Rarely,3485,1,5,529,79,14935,11,2,0,80,5,0,0
Sales Executive,366,0,Sales,0,2,Travel_Rarely,6644,2,10,1210,78,3687,19,2,2,80,2,0,0
Healthcare Representative,367,0,R&D,9,2,Travel_Rarely,5582,2,10,1463,64,14408,21,0,1,80,2,7,8
Healthcare Representative,369,3,R&D,6,4,Non-Travel,4000,2,6,675,85,18384,12,1,2,80,2,1,5
Healthcare Representative,372,7,R&D,20,3,Travel_Rarely,13496,4,21,1385,79,7501,14,0,0,80,2,4,10
Laboratory Technician,373,13,R&D,15,3,Travel_Rarely,3210,1,16,1403,47,20251,11,0,1,80,4,10,11
Manager,374,10,R&D,36,3,Travel_Rarely,19045,5,37,452,81,18938,14,0,0,80,2,4,13
Manager,376,7,R&D,10,3,Non-Travel,11849,3,10,666,88,10268,12,1,1,80,2,9,9
Research Scientist,377,2,R&D,5,3,Travel_Rarely,2070,1,5,1158,94,2613,23,1,1,80,3,0,4
Sales Executive,378,4,Sales,5,3,Travel_Rarely,6502,2,7,228,98,22825,14,4,1,80,5,0,1
Research Scientist,379,2,R&D,3,2,Travel_Rarely,3230,1,3,996,100,10531,17,1,0,80,4,1,0
Research Director,380,2,R&D,5,3,Non-Travel,13603,3,15,728,80,11677,18,2,2,80,2,0,2
Manager,381,7,R&D,7,4,Travel_Rarely,11996,3,10,1315,71,19100,18,7,1,80,6,6,2
Sales Executive,382,0,Sales,8,4,Travel_Rarely,5605,2,8,322,44,19191,24,1,1,80,3,7,7
Manufacturing Director,384,5,R&D,6,3,Travel_Frequently,6397,2,6,1479,84,26767,20,1,1,80,6,1,4
Research Director,385,4,R&D,10,3,Travel_Rarely,19144,5,28,797,96,15815,14,3,2,80,4,1,6
Research Director,386,3,R&D,5,3,Travel_Rarely,17584,4,21,1070,45,21016,16,3,3,80,5,1,3
Sales Executive,387,16,Sales,20,3,Travel_Rarely,4907,2,20,635,99,24532,25,1,0,80,3,11,6
Sales Executive,388,7,Sales,10,3,Travel_Frequently,4554,2,10,442,44,20260,18,1,0,80,3,0,9
Laboratory Technician,389,7,R&D,10,3,Travel_Rarely,5415,2,12,147,37,15972,19,3,1,80,4,0,8
Healthcare Representative,390,3,R&D,5,3,Travel_Frequently,4741,2,5,496,60,22722,13,1,1,80,3,3,3
Research Scientist,391,12,R&D,17,3,Travel_Rarely,2115,1,17,1372,42,15881,12,1,0,80,3,5,7
Laboratory Technician,392,0,R&D,1,3,Travel_Frequently,3161,1,19,920,43,19920,22,3,1,80,0,0,0
Healthcare Representative,393,2,R&D,2,3,Travel_Rarely,5745,2,10,688,82,18899,14,9,1,80,2,1,2
Laboratory Technician,394,2,R&D,3,3,Travel_Rarely,2373,1,5,1449,45,14180,13,2,1,80,2,0,2
Research Scientist,395,3,R&D,5,3,Travel_Rarely,3310,1,5,1117,66,4488,21,1,0,80,3,0,2
Research Director,396,2,R&D,3,3,Travel_Frequently,18665,5,22,636,35,25594,11,9,0,80,4,1,2
Research Scientist,397,0,R&D,8,3,Travel_Rarely,4485,2,10,506,30,26285,12,4,0,80,2,7,7
Sales Representative,399,2,Sales,2,3,Travel_Frequently,2789,1,2,444,84,3909,11,1,1,80,5,2,2
Sales Executive,401,7,Sales,8,2,Travel_Rarely,5828,2,8,950,48,8450,12,1,0,80,0,7,4
Research Scientist,403,2,R&D,4,3,Travel_Frequently,2326,1,4,889,53,11411,12,1,3,80,3,1,2
Sales Executive,404,4,Sales,20,3,Travel_Frequently,13525,4,23,555,77,14864,14,5,1,80,2,4,8
Laboratory Technician,405,0,R&D,0,3,Travel_Rarely,1420,1,0,230,54,25233,13,1,0,80,2,0,0
Sales Executive,406,9,Sales,11,3,Travel_Rarely,8020,3,12,1232,96,5100,15,0,2,80,3,6,9
Laboratory Technician,407,0,R&D,1,4,Travel_Frequently,3688,1,4,566,81,7122,18,4,2,80,2,0,0
Manufacturing Director,408,1,R&D,4,1,Travel_Rarely,5482,2,13,1302,84,16321,18,5,1,80,3,1,2
Manager,410,10,Sales,22,3,Travel_Rarely,16015,4,22,334,88,15896,19,1,0,80,2,0,4
Sales Representative,411,0,Sales,0,2,Travel_Rarely,1200,1,0,812,69,9724,12,1,0,80,2,0,0
Healthcare Representative,412,3,R&D,8,4,Travel_Rarely,5661,2,9,1476,68,4824,19,0,0,80,2,0,7
Sales Executive,416,7,Sales,8,4,Travel_Rarely,6929,2,10,218,100,12241,11,4,1,80,3,7,7
Healthcare Representative,417,10,R&D,18,4,Travel_Rarely,9613,3,19,1132,48,10942,17,0,3,80,5,3,7
Laboratory Technician,419,8,R&D,9,3,Non-Travel,5674,2,11,1105,47,6927,15,7,1,80,3,0,8
Sales Executive,420,8,Sales,13,2,Travel_Rarely,5484,2,13,906,91,16985,14,1,1,80,3,4,8
Research Director,421,8,R&D,10,2,Travel_Rarely,12061,3,19,849,81,26707,17,3,1,80,2,0,1
Healthcare Representative,422,3,R&D,5,1,Non-Travel,5660,2,12,390,32,17056,13,2,1,80,2,1,2
Research Scientist,423,2,R&D,5,3,Travel_Rarely,4821,1,6,691,86,10077,12,0,1,80,4,0,3
Human Resources,424,2,HR,2,2,Travel_Rarely,6410,2,9,106,62,17822,12,3,0,80,1,1,0
Laboratory Technician,425,9,R&D,24,3,Travel_Frequently,5210,3,24,1249,97,20308,18,1,1,80,2,9,11
Research Scientist,426,2,R&D,2,3,Travel_Rarely,2695,1,3,192,32,7747,18,0,1,80,2,2,2
Manager,428,6,R&D,10,3,Travel_Frequently,11878,3,12,553,74,23364,11,6,2,80,2,8,8
Manager,429,9,R&D,21,3,Travel_Rarely,17068,4,21,117,99,5355,14,1,0,80,3,11,10
Laboratory Technician,430,7,R&D,8,3,Travel_Frequently,2455,1,9,185,33,10675,19,0,0,80,5,1,7
Healthcare Representative,431,1,R&D,7,2,Travel_Rarely,13964,4,25,1091,90,17810,12,7,0,80,2,0,7
Research Scientist,433,2,R&D,8,2,Travel_Rarely,4941,2,11,723,85,17747,15,2,0,80,3,7,7
Research Scientist,434,3,R&D,4,3,Travel_Rarely,2478,1,4,1220,85,20938,12,1,0,80,2,1,2
Sales Executive,436,12,Sales,13,2,Travel_Rarely,5228,2,13,588,65,24624,11,1,0,80,2,11,9
Sales Executive,437,4,Sales,5,3,Travel_Rarely,4478,2,5,1377,74,5242,11,1,0,80,3,0,4
Sales Executive,438,7,Sales,7,3,Travel_Rarely,7547,2,13,691,73,7143,12,4,3,80,3,1,7
Research Scientist,439,7,R&D,7,4,Travel_Rarely,5055,2,10,1018,74,10557,16,7,0,80,0,0,7
Research Scientist,440,2,R&D,3,1,Travel_Rarely,3464,1,5,1157,84,24737,13,5,0,80,4,2,2
Research Scientist,441,8,R&D,10,3,Travel_Rarely,5775,2,11,1275,64,11934,13,1,2,80,2,1,9
Manufacturing Director,442,9,R&D,10,2,Travel_Frequently,8943,3,10,798,48,14034,24,1,1,80,2,8,9
Manager,444,9,R&D,21,2,Travel_Frequently,19272,5,21,672,54,21141,15,1,1,80,2,13,3
Sales Executive,445,0,Sales,1,3,Travel_Rarely,5238,2,12,1162,41,17778,18,4,0,80,3,0,0
Sales Executive,446,7,Sales,7,2,Travel_Frequently,4682,2,9,508,46,4317,14,3,0,80,6,0,1
Research Director,447,2,R&D,3,3,Travel_Rarely,18300,5,21,1482,42,16375,11,4,1,80,2,1,1
Laboratory Technician,448,7,R&D,9,2,Travel_Frequently,5257,2,9,559,82,6227,11,1,1,80,3,0,0
Sales Executive,449,4,Sales,5,3,Non-Travel,6349,2,6,210,73,22107,13,0,1,80,0,1,4
Research Scientist,450,3,R&D,4,3,Travel_Frequently,4869,2,20,928,31,16885,12,3,0,80,4,0,3
Healthcare Representative,451,0,R&D,1,3,Travel_Rarely,9985,3,10,1001,43,9262,16,8,1,80,1,0,0
Research Scientist,452,9,R&D,10,3,Travel_Rarely,3697,2,12,549,75,9278,14,9,2,80,3,9,8
Sales Executive,453,3,Sales,4,1,Travel_Rarely,7457,2,6,1124,57,13273,22,2,3,80,2,0,2
Laboratory Technician,454,7,R&D,7,1,Travel_Rarely,2119,1,7,318,77,4759,11,1,0,80,4,0,7
Laboratory Technician,455,2,R&D,3,2,Travel_Rarely,3983,1,4,738,30,7621,17,0,0,80,2,2,2
Sales Executive,456,9,Sales,10,2,Travel_Rarely,6118,2,10,570,30,5431,13,1,3,80,2,1,2
Sales Executive,458,7,Sales,8,3,Travel_Rarely,6214,2,8,1130,56,3415,18,1,1,80,3,0,7
Manufacturing Director,460,2,R&D,6,3,Travel_Rarely,6347,2,8,1192,61,23177,16,7,2,80,2,0,4
Research Director,461,10,R&D,11,2,Travel_Rarely,11510,3,12,343,92,15682,14,0,1,80,3,2,9
Manufacturing Director,462,9,R&D,11,3,Travel_Rarely,7143,3,11,1232,39,25713,14,1,0,80,2,4,10
Sales Executive,463,7,Sales,7,2,Travel_Rarely,8268,2,7,144,39,11866,14,1,2,80,2,1,7
Manufacturing Director,464,6,R&D,16,3,Travel_Rarely,8095,3,17,1296,62,18264,13,0,0,80,5,0,13
Research Scientist,465,2,R&D,4,3,Travel_Rarely,2904,1,4,1309,83,16092,12,1,2,80,2,0,2
Manufacturing Director,466,4,R&D,5,2,Travel_Rarely,6032,2,8,483,95,10110,15,6,0,80,3,1,2
Sales Representative,467,0,Sales,0,3,Travel_Frequently,2976,2,5,1309,99,25751,19,3,0,80,3,0,0
Research Director,468,0,R&D,1,3,Travel_Rarely,15992,4,16,810,44,15901,14,2,0,80,2,0,0
Sales Executive,469,3,Sales,4,3,Non-Travel,4649,2,4,746,61,16928,14,1,1,80,3,0,2
Human Resources,470,2,HR,3,3,Travel_Rarely,2696,1,4,544,52,24017,11,0,1,80,5,1,0
Laboratory Technician,471,0,R&D,8,3,Travel_Rarely,2370,1,8,1062,75,3956,13,1,1,80,4,0,7
Manager,473,0,Sales,0,3,Travel_Rarely,12504,3,15,530,91,23978,21,3,1,80,3,0,0
Research Scientist,474,7,R&D,7,4,Travel_Rarely,5974,2,13,1319,51,17001,13,4,2,80,2,6,7
Sales Executive,475,2,Sales,2,3,Non-Travel,4736,2,4,641,85,6069,12,7,1,80,2,2,2
Sales Executive,476,7,Sales,8,3,Travel_Rarely,5296,2,8,933,57,20156,17,1,1,80,3,7,7
Healthcare Representative,477,0,R&D,1,2,Travel_Rarely,6781,2,14,1332,98,17078,23,3,0,80,6,0,0
Sales Representative,478,2,Sales,3,2,Travel_Frequently,2174,1,3,756,99,9150,11,1,0,80,3,1,2
Sales Executive,479,0,Sales,1,3,Non-Travel,6653,2,7,845,45,15276,15,4,0,80,6,0,0
Sales Executive,481,9,Sales,13,2,Travel_Frequently,9699,3,16,541,48,7246,11,4,1,80,2,1,12
Healthcare Representative,482,2,R&D,3,3,Travel_Rarely,6755,2,15,593,88,2967,11,2,0,80,2,1,2
Laboratory Technician,483,7,R&D,7,4,Travel_Rarely,2213,1,10,1171,46,22495,13,3,1,80,3,1,7
Sales Representative,484,2,Sales,3,3,Non-Travel,2610,1,3,895,39,2851,24,1,0,80,3,2,2
Sales Representative,485,0,Sales,1,3,Travel_Rarely,2851,1,1,350,34,9150,13,1,0,80,2,0,0
Laboratory Technician,486,4,R&D,5,3,Travel_Rarely,3452,1,17,921,98,17663,20,6,1,80,3,0,3
Manufacturing Director,487,0,R&D,1,3,Non-Travel,5258,2,7,1144,30,16044,14,2,0,80,2,0,0
Sales Executive,488,7,Sales,8,3,Travel_Frequently,9355,2,8,143,56,9558,18,1,0,80,5,7,7
Healthcare Representative,491,3,R&D,4,2,Travel_Rarely,10496,3,20,1046,100,2755,15,6,0,80,2,1,3
Sales Executive,492,4,Sales,6,2,Travel_Rarely,6380,2,8,575,68,6110,12,2,2,80,6,1,0
Research Scientist,493,2,R&D,2,2,Travel_Rarely,2657,1,3,408,42,7551,16,0,0,80,5,2,2
Sales Representative,494,0,Sales,1,4,Travel_Rarely,2716,1,1,156,90,25422,15,1,0,80,0,0,0
Research Scientist,495,2,R&D,3,3,Travel_Rarely,2201,1,6,1283,54,18168,16,9,0,80,4,1,2
Healthcare Representative,496,1,R&D,1,2,Travel_Rarely,6540,2,10,755,97,19394,19,9,0,80,5,0,0
Laboratory Technician,497,2,R&D,5,3,Travel_Rarely,3816,1,5,1469,82,17881,11,1,1,80,2,0,4
Sales Executive,498,5,Sales,7,3,Travel_Rarely,5253,2,7,304,92,20750,16,1,0,80,1,0,7
Healthcare Representative,499,2,R&D,5,2,Travel_Rarely,10965,3,26,1261,31,12066,24,8,0,80,2,0,0
Sales Executive,500,7,Sales,7,3,Travel_Rarely,4936,2,18,1178,87,14862,11,4,1,80,2,0,7
Research Scientist,501,2,R&D,2,3,Travel_Rarely,2543,1,6,329,96,11868,13,4,1,80,3,2,2
Sales Executive,502,2,Sales,5,4,Non-Travel,5304,2,9,1362,67,4652,13,8,0,80,3,0,4
Manager,505,4,R&D,5,3,Travel_Rarely,16659,4,30,1311,97,23258,13,2,0,80,2,1,2
Sales Executive,507,2,Sales,5,3,Travel_Rarely,4260,2,5,1371,77,5915,12,1,1,80,2,0,3
Sales Representative,508,0,Sales,1,3,Travel_Rarely,2476,1,1,202,72,17434,18,1,1,80,3,0,0
Research Scientist,510,4,R&D,6,3,Travel_Frequently,3102,1,7,575,73,6582,22,0,0,80,2,0,4
Research Scientist,511,1,R&D,2,3,Travel_Rarely,2244,1,2,253,43,24440,13,1,1,80,1,1,2
Sales Executive,513,9,Sales,10,2,Travel_Rarely,7596,3,10,164,61,3809,13,1,2,80,2,9,0
Research Scientist,514,0,R&D,1,3,Travel_Frequently,2285,1,3,464,40,3427,23,9,0,80,4,0,0
Laboratory Technician,515,7,R&D,18,3,Travel_Rarely,3034,1,18,1107,95,26914,12,1,1,80,2,12,17
Sales Executive,516,4,Sales,5,3,Travel_Rarely,5715,2,8,759,46,22553,12,7,2,80,5,1,3
Laboratory Technician,517,2,R&D,5,3,Travel_Rarely,2576,1,8,201,95,20490,16,3,1,80,5,1,2
Manufacturing Director,518,0,R&D,1,3,Travel_Rarely,4197,2,18,1305,49,21123,12,2,0,80,2,0,1
Research Director,520,10,R&D,25,2,Travel_Rarely,14336,4,25,982,59,4345,11,1,1,80,3,3,9
Laboratory Technician,521,0,R&D,1,2,Travel_Rarely,3448,2,20,555,78,13436,22,6,1,80,3,0,0
Research Director,522,2,R&D,4,3,Travel_Rarely,19406,5,24,821,86,8509,11,4,1,80,4,1,2
Sales Executive,523,2,Sales,3,3,Non-Travel,6538,2,6,1381,72,12740,15,9,1,80,3,1,2
Manufacturing Director,524,10,R&D,13,3,Travel_Rarely,4306,2,13,480,31,4156,12,1,1,80,5,3,12
Laboratory Technician,525,2,R&D,3,3,Travel_Frequently,2258,1,8,313,61,15238,20,7,1,80,1,1,2
Healthcare Representative,526,2,R&D,5,3,Travel_Rarely,4522,2,8,1473,74,2227,14,4,0,80,3,0,2
Sales Executive,527,4,Sales,5,2,Travel_Rarely,4487,2,5,891,99,12090,11,1,0,80,3,1,3
Research Scientist,529,11,R&D,13,3,Non-Travel,4449,2,15,1063,72,23866,15,3,2,80,2,10,7
Laboratory Technician,530,2,R&D,4,2,Travel_Rarely,2218,1,4,329,98,16193,12,1,1,80,3,3,2
Manager,531,8,R&D,21,3,Travel_Frequently,19197,5,21,1218,52,8213,14,1,1,80,3,1,6
Sales Executive,532,7,Sales,7,4,Travel_Frequently,13212,4,36,906,86,18256,11,9,3,80,0,7,7
Sales Executive,533,4,Sales,5,3,Travel_Rarely,6577,2,6,1082,83,19558,11,0,0,80,6,4,4
Sales Executive,534,7,Sales,10,4,Travel_Rarely,8392,3,10,645,49,19566,16,1,1,80,2,0,7
Laboratory Technician,536,0,R&D,10,3,Travel_Rarely,4558,2,10,1300,79,13535,12,1,1,80,2,1,8
Laboratory Technician,538,2,R&D,2,3,Travel_Rarely,4031,1,6,688,91,9396,13,5,1,80,5,0,2
Manufacturing Director,543,4,R&D,5,2,Travel_Rarely,7969,3,28,319,39,19609,14,2,0,80,4,0,4
Research Scientist,544,2,R&D,2,3,Travel_Rarely,2654,1,8,192,69,9655,21,3,2,80,3,0,2
Manager,546,2,R&D,5,3,Travel_Rarely,16555,4,31,1490,30,10310,13,2,0,80,2,1,4
Research Scientist,547,4,R&D,5,3,Travel_Frequently,4556,2,19,532,92,12932,11,2,1,80,3,0,2
Manufacturing Director,548,4,R&D,5,1,Travel_Rarely,6091,2,11,317,43,24793,20,2,0,80,2,0,2
Manager,549,8,R&D,29,3,Travel_Rarely,19566,5,33,422,41,3854,11,5,0,80,5,11,10
Manufacturing Director,550,7,R&D,10,3,Travel_Rarely,4810,2,19,1485,87,26314,14,2,1,80,5,0,8
Healthcare Representative,551,5,R&D,6,2,Travel_Frequently,4523,2,7,1368,88,4386,11,0,3,80,4,0,4
Sales Representative,554,3,Sales,5,3,Travel_Rarely,3202,1,6,1448,62,21972,16,1,0,80,4,1,4
Sales Representative,555,2,Sales,2,1,Travel_Frequently,2351,1,3,296,33,12253,16,0,1,80,3,1,0
Laboratory Technician,556,0,R&D,1,3,Travel_Frequently,1702,1,1,1490,42,12106,23,1,1,80,3,0,0
Manager,558,15,Sales,20,3,Travel_Rarely,18041,5,21,1398,79,13022,14,0,0,80,2,1,12
Research Scientist,560,2,R&D,3,3,Travel_Rarely,2886,1,3,1349,90,3032,22,1,2,80,3,0,2
Laboratory Technician,562,3,R&D,5,3,Non-Travel,2097,1,9,1400,53,16734,15,4,1,80,3,1,4
Research Director,564,2,R&D,10,2,Travel_Rarely,11935,3,10,986,93,21526,18,1,0,80,2,0,7
Research Scientist,565,2,R&D,2,2,Travel_Rarely,2546,1,6,408,71,18300,16,5,0,80,2,1,1
Human Resources,566,0,HR,1,2,Travel_Rarely,2564,1,1,489,52,18437,12,1,0,80,3,0,0
Sales Executive,567,8,Sales,9,3,Non-Travel,8412,3,10,1398,69,2890,11,0,0,80,3,7,8
Manager,568,0,Sales,1,2,Travel_Rarely,14118,4,32,210,56,22102,12,3,1,80,3,0,0
Manager,569,10,R&D,27,2,Travel_Rarely,17046,4,28,1099,88,9314,15,0,1,80,2,15,7
Laboratory Technician,571,7,R&D,11,3,Non-Travel,2564,1,12,1116,49,7181,14,0,0,80,2,6,7
Sales Executive,573,13,Sales,18,2,Travel_Frequently,10266,3,22,1499,80,2845,19,4,0,80,5,13,11
Manufacturing Director,574,0,R&D,5,3,Travel_Rarely,5070,2,20,983,65,7389,13,5,3,80,2,0,4
Research Director,575,2,R&D,3,3,Travel_Rarely,17861,4,26,1009,51,2288,13,6,0,80,2,0,1
Laboratory Technician,577,4,R&D,5,1,Travel_Rarely,4230,1,6,144,46,19225,15,0,0,80,2,4,3
Laboratory Technician,578,0,R&D,1,3,Travel_Rarely,3780,2,19,548,42,23428,11,7,0,80,3,0,0
Research Scientist,579,3,R&D,7,2,Travel_Rarely,2768,1,14,1303,62,8416,12,3,1,80,3,5,7
Sales Executive,580,2,Sales,3,2,Travel_Rarely,9071,3,15,1125,94,11563,19,2,1,80,3,1,2
Manufacturing Director,581,8,R&D,13,3,Travel_Rarely,10648,3,13,1274,33,14394,25,1,1,80,6,0,8
Manager,582,6,R&D,7,3,Travel_Rarely,13610,3,15,1277,56,24619,12,7,0,80,2,7,7
Laboratory Technician,584,3,R&D,4,1,Travel_Rarely,3408,1,8,587,38,6705,13,7,3,80,2,1,3
Sales Representative,585,2,Sales,3,3,Travel_Rarely,2983,1,4,413,57,18398,14,0,0,80,3,1,2
Healthcare Representative,586,7,R&D,8,3,Travel_Rarely,7632,3,10,1276,72,14295,12,4,0,80,2,0,0
Healthcare Representative,587,0,R&D,1,3,Travel_Frequently,9824,3,12,534,66,22908,12,3,0,80,2,0,0
Human Resources,590,2,HR,3,3,Travel_Frequently,9950,3,11,988,43,11533,15,9,3,80,2,0,2
Laboratory Technician,591,2,R&D,2,3,Travel_Frequently,2093,1,8,1474,97,9260,17,4,1,80,4,2,0
Sales Executive,592,3,Sales,10,3,Non-Travel,9980,3,10,635,32,15318,14,1,0,80,3,9,7
Laboratory Technician,593,2,R&D,2,2,Travel_Frequently,3894,1,4,1368,99,9129,16,5,0,80,3,1,2
Sales Executive,595,7,Sales,9,3,Travel_Rarely,4051,2,14,163,37,19658,14,2,1,80,2,6,7
Manager,597,9,Sales,10,3,Travel_Rarely,16835,4,37,1117,83,9873,23,3,0,80,2,7,7
Sales Executive,599,3,Sales,14,3,Non-Travel,6230,2,16,267,56,13430,14,7,0,80,3,1,10
Sales Executive,600,9,Sales,11,3,Travel_Rarely,4717,2,15,619,85,18659,11,9,0,80,2,6,9
Manufacturing Director,601,6,R&D,20,3,Travel_Rarely,13237,4,22,302,75,20364,15,7,0,80,3,5,13
Laboratory Technician,602,3,R&D,8,3,Travel_Frequently,3755,1,8,443,48,17872,11,1,1,80,3,0,7
Sales Executive,604,5,Sales,6,3,Travel_Rarely,6582,2,10,828,77,8346,13,4,0,80,2,0,5
Manufacturing Director,605,9,R&D,10,3,Travel_Rarely,7406,3,10,319,56,6950,21,1,1,80,5,5,8
Sales Executive,606,7,Sales,8,3,Travel_Rarely,4805,2,9,561,61,16177,19,0,1,80,3,3,7
Human Resources,608,7,HR,7,3,Travel_Frequently,2741,1,8,426,58,22808,11,0,1,80,2,1,0
Manufacturing Director,611,2,R&D,3,3,Travel_Rarely,4262,2,8,232,34,22645,12,4,2,80,2,1,2
Research Director,612,1,R&D,6,4,Travel_Rarely,16184,4,10,922,95,22578,19,4,1,80,2,0,5
Manager,613,4,Sales,5,2,Travel_Rarely,11557,3,10,688,44,25291,21,9,1,80,3,0,1
Sales Representative,614,0,Sales,0,3,Travel_Frequently,1878,1,0,1306,69,8059,14,1,0,80,3,0,0
Sales Executive,615,0,Sales,1,1,Non-Travel,10932,3,20,1094,58,11373,15,3,1,80,2,0,1
Healthcare Representative,616,7,R&D,8,2,Non-Travel,6811,2,10,509,62,2112,17,2,0,80,3,0,7
Sales Executive,618,0,Sales,0,3,Travel_Rarely,4306,2,8,775,45,4267,12,5,2,80,5,0,0
Sales Executive,620,4,Sales,5,3,Travel_Rarely,4859,2,5,195,80,6698,16,1,0,80,3,0,3
Sales Executive,621,7,Sales,10,4,Travel_Rarely,5337,2,10,258,74,19921,12,1,0,80,3,5,7
Laboratory Technician,622,0,R&D,1,1,Travel_Rarely,2340,1,1,471,66,23213,18,1,0,80,3,0,0
Manufacturing Director,623,5,R&D,6,3,Travel_Rarely,7491,3,12,799,59,23848,17,4,0,80,3,1,2
Healthcare Representative,624,2,R&D,2,3,Travel_Frequently,10527,3,28,1034,86,8984,11,5,0,80,3,1,2
Manager,625,16,Sales,18,3,Travel_Rarely,16595,4,22,1276,91,5626,16,7,1,80,2,11,8
Sales Executive,626,5,Sales,9,3,Non-Travel,8834,3,9,142,69,24666,13,1,1,80,6,7,7
Research Scientist,630,9,R&D,10,3,Travel_Rarely,5577,2,18,956,78,22087,12,3,2,80,3,6,9
Sales Executive,631,2,Sales,4,4,Non-Travel,4707,2,6,1474,60,23914,12,8,0,80,2,1,2
Sales Representative,632,2,Sales,2,3,Travel_Frequently,2400,1,3,535,38,5530,13,0,2,80,3,2,1
Healthcare Representative,634,0,R&D,1,3,Travel_Rarely,9824,2,18,1495,76,22174,19,3,1,80,4,0,0
Manufacturing Director,635,5,R&D,6,3,Travel_Rarely,6447,2,8,446,65,15701,12,6,1,80,2,4,3
Research Director,638,9,R&D,31,2,Travel_Rarely,19502,5,31,1245,58,2125,17,1,1,80,5,0,9
Research Scientist,639,5,R&D,6,4,Travel_Rarely,2725,1,6,691,89,21630,11,1,2,80,3,1,4
Sales Executive,641,3,Sales,5,3,Travel_Rarely,6272,2,6,703,66,7428,20,1,2,80,5,1,4
Laboratory Technician,643,0,R&D,1,2,Travel_Rarely,2127,1,1,823,94,9100,21,1,1,80,2,0,0
Manager,644,5,HR,32,3,Travel_Frequently,18200,5,32,1246,99,7999,11,1,1,80,2,10,7
Sales Representative,645,4,Sales,7,3,Travel_Rarely,2096,1,7,622,40,26376,11,1,0,80,1,0,6
Laboratory Technician,647,3,R&D,6,3,Travel_Frequently,2886,1,6,1287,55,14168,16,1,1,80,4,1,2
Sales Representative,648,0,Sales,1,2,Travel_Frequently,2033,1,1,448,74,14470,18,1,1,80,2,0,0
Research Scientist,649,5,R&D,6,2,Travel_Rarely,3622,1,6,254,83,22794,13,1,1,80,3,1,3
Sales Executive,650,1,Sales,3,3,Travel_Rarely,4233,2,9,1365,46,11512,17,2,0,80,2,1,2
Laboratory Technician,652,2,R&D,3,2,Travel_Rarely,3681,2,9,538,54,14004,14,4,0,80,3,0,2
Sales Executive,653,7,Sales,7,4,Travel_Rarely,5460,2,13,525,66,6219,22,4,2,80,4,5,7
Research Scientist,655,3,R&D,5,2,Travel_Rarely,2187,1,6,798,66,5013,12,0,2,80,5,0,3
Sales Executive,656,0,Sales,3,3,Travel_Rarely,9602,2,17,558,75,3010,11,4,1,80,3,1,0
