Marital Status,Distance From Home,Employee Number,Age,Education Field,Gender,Education,CF_age band,CF_current Employee,Over18,emp no
Married,8,433,52,Medical,Male,Master's Degree,45 - 54,0,Y,STAFF-433
Single,5,434,27,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-434
Married,8,436,32,Technical Degree,Female,Associates Degree,25 - 34,1,Y,STAFF-436
Single,2,437,27,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-437
Divorced,7,438,31,Marketing,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-438
Single,2,439,32,Medical,Female,Master's Degree,25 - 34,1,Y,STAFF-439
Married,2,440,28,Medical,Male,Master's Degree,25 - 34,0,Y,STAFF-440
Married,28,441,30,Medical,Female,Associates Degree,25 - 34,1,Y,STAFF-441
Married,7,442,31,Life Sciences,Female,Associates Degree,25 - 34,1,Y,STAFF-442
Married,7,444,39,Medical,Male,Associates Degree,35 - 44,1,Y,STAFF-444
Married,3,445,39,Medical,Female,Associates Degree,35 - 44,0,Y,STAFF-445
Single,10,446,33,Marketing,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-446
Married,5,447,47,Life Sciences,Male,Doctoral Degree,45 - 54,1,Y,STAFF-447
Divorced,10,448,43,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-448
Married,1,449,27,Marketing,Male,High School,25 - 34,1,Y,STAFF-449
Single,20,450,54,Life Sciences,Female,Master's Degree,45 - 54,1,Y,STAFF-450
Married,7,451,43,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-451
Married,8,452,45,Other,Male,Master's Degree,45 - 54,1,Y,STAFF-452
Married,1,453,40,Medical,Male,Associates Degree,35 - 44,1,Y,STAFF-453
Married,8,454,29,Other,Male,Master's Degree,25 - 34,0,Y,STAFF-454
Single,9,455,29,Other,Male,Doctoral Degree,25 - 34,1,Y,STAFF-455
Divorced,5,456,30,Marketing,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-456
Married,8,458,27,Marketing,Female,Master's Degree,25 - 34,1,Y,STAFF-458
Divorced,5,460,37,Medical,Male,Associates Degree,35 - 44,1,Y,STAFF-460
Divorced,15,461,38,Life Sciences,Male,Associates Degree,35 - 44,1,Y,STAFF-461
Single,7,462,31,Medical,Female,Master's Degree,25 - 34,1,Y,STAFF-462
Divorced,10,463,29,Marketing,Female,High School,25 - 34,1,Y,STAFF-463
Single,5,464,35,Technical Degree,Male,Master's Degree,35 - 44,1,Y,STAFF-464
Divorced,26,465,23,Life Sciences,Male,High School,Under 25,1,Y,STAFF-465
Single,6,466,41,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-466
Single,4,467,47,Medical,Male,High School,45 - 54,1,Y,STAFF-467
Single,23,468,42,Life Sciences,Female,Doctoral Degree,35 - 44,1,Y,STAFF-468
Married,2,469,29,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-469
Divorced,2,470,42,Technical Degree,Male,High School,35 - 44,1,Y,STAFF-470
Married,2,471,32,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-471
Married,29,473,48,Medical,Female,High School,45 - 54,1,Y,STAFF-473
Divorced,6,474,37,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-474
Married,25,475,30,Technical Degree,Female,Associates Degree,25 - 34,1,Y,STAFF-475
Married,1,476,26,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-476
Single,2,477,42,Other,Male,Master's Degree,35 - 44,1,Y,STAFF-477
Single,1,478,21,Technical Degree,Female,High School,Under 25,0,Y,STAFF-478
Single,1,479,36,Medical,Female,Doctoral Degree,35 - 44,1,Y,STAFF-479
Married,3,481,36,Medical,Male,Master's Degree,35 - 44,1,Y,STAFF-481
Married,1,482,57,Medical,Male,Master's Degree,Over 55,1,Y,STAFF-482
Married,10,483,40,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-483
Single,9,484,21,Medical,Male,Associates Degree,Under 25,1,Y,STAFF-484
Single,5,485,33,Marketing,Female,Bachelor's Degree,25 - 34,0,Y,STAFF-485
Married,10,486,37,Medical,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-486
Married,7,487,46,Medical,Female,Master's Degree,45 - 54,1,Y,STAFF-487
Single,4,488,41,Marketing,Male,Bachelor's Degree,35 - 44,0,Y,STAFF-488
Single,10,491,50,Technical Degree,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-491
Married,22,492,40,Marketing,Male,Associates Degree,35 - 44,0,Y,STAFF-492
Single,9,493,31,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-493
Single,12,494,21,Life Sciences,Female,Bachelor's Degree,Under 25,0,Y,STAFF-494
Single,23,495,29,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-495
Single,9,496,35,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-496
Divorced,1,497,27,Medical,Male,Associates Degree,25 - 34,1,Y,STAFF-497
Single,9,498,28,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-498
Single,7,499,49,Other,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-499
Married,14,500,51,Life Sciences,Female,Associates Degree,45 - 54,1,Y,STAFF-500
Married,2,501,36,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-501
Single,19,502,34,Marketing,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-502
Single,2,505,55,Life Sciences,Female,Bachelor's Degree,Over 55,1,Y,STAFF-505
Divorced,10,507,24,Marketing,Female,Master's Degree,Under 25,1,Y,STAFF-507
Married,2,508,30,Technical Degree,Male,High School,25 - 34,1,Y,STAFF-508
Single,3,510,26,Technical Degree,Male,High School,25 - 34,0,Y,STAFF-510
Married,11,511,22,Medical,Female,Bachelor's Degree,Under 25,1,Y,STAFF-511
Married,2,513,36,Medical,Male,Associates Degree,35 - 44,1,Y,STAFF-513
Single,4,514,30,Technical Degree,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-514
Divorced,14,515,37,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-515
Divorced,2,516,40,Marketing,Female,Associates Degree,35 - 44,1,Y,STAFF-516
Divorced,1,517,42,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-517
Single,10,518,37,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-518
Divorced,12,520,43,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-520
Married,2,521,40,Medical,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-521
Married,5,522,54,Medical,Male,Associates Degree,45 - 54,1,Y,STAFF-522
Married,4,523,34,Marketing,Female,Master's Degree,25 - 34,1,Y,STAFF-523
Married,7,524,31,Medical,Female,Associates Degree,25 - 34,1,Y,STAFF-524
Married,21,525,43,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-525
Divorced,8,526,43,Other,Female,Master's Degree,35 - 44,1,Y,STAFF-526
Single,4,527,25,Life Sciences,Female,Associates Degree,25 - 34,1,Y,STAFF-527
Married,25,529,37,Medical,Female,Doctoral Degree,35 - 44,1,Y,STAFF-529
Married,1,530,31,Life Sciences,Male,Associates Degree,25 - 34,1,Y,STAFF-530
Divorced,1,531,39,Life Sciences,Male,High School,35 - 44,1,Y,STAFF-531
Married,6,532,56,Life Sciences,Female,Bachelor's Degree,Over 55,1,Y,STAFF-532
Single,12,533,30,Technical Degree,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-533
Married,1,534,41,Marketing,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-534
Divorced,17,536,28,Medical,Male,Associates Degree,25 - 34,1,Y,STAFF-536
Married,3,538,25,Medical,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-538
Married,3,543,52,Medical,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-543
Married,10,544,45,Life Sciences,Male,Associates Degree,45 - 54,1,Y,STAFF-544
Married,4,546,52,Life Sciences,Female,Associates Degree,45 - 54,1,Y,STAFF-546
Divorced,29,547,42,Life Sciences,Female,Associates Degree,35 - 44,1,Y,STAFF-547
Single,2,548,30,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-548
Married,7,549,60,Life Sciences,Female,Bachelor's Degree,Over 55,1,Y,STAFF-549
Divorced,18,550,46,Medical,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-550
Married,28,551,42,Technical Degree,Female,Master's Degree,35 - 44,1,Y,STAFF-551
Single,1,554,24,Technical Degree,Female,High School,Under 25,0,Y,STAFF-554
Divorced,6,555,34,Marketing,Female,Associates Degree,25 - 34,0,Y,STAFF-555
Married,2,556,38,Life Sciences,Male,Associates Degree,35 - 44,1,Y,STAFF-556
Married,2,558,40,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-558
Divorced,23,560,26,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-560
Married,3,562,30,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-562
Married,3,564,29,Medical,Male,Master's Degree,25 - 34,1,Y,STAFF-564
Married,25,565,29,Technical Degree,Female,Doctoral Degree,25 - 34,0,Y,STAFF-565
Single,2,566,19,Technical Degree,Male,Associates Degree,Under 25,0,Y,STAFF-566
Married,22,567,30,Other,Female,Master's Degree,25 - 34,1,Y,STAFF-567
Divorced,29,568,57,Marketing,Male,Bachelor's Degree,Over 55,1,Y,STAFF-568
Married,29,569,50,Life Sciences,Male,Master's Degree,45 - 54,1,Y,STAFF-569
Single,2,571,30,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-571
Married,28,573,60,Marketing,Female,Bachelor's Degree,Over 55,1,Y,STAFF-573
Divorced,2,574,47,Medical,Female,Associates Degree,45 - 54,1,Y,STAFF-574
Married,2,575,46,Life Sciences,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-575
Single,22,577,35,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-577
Single,8,578,54,Life Sciences,Female,Master's Degree,45 - 54,1,Y,STAFF-578
Divorced,2,579,34,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-579
Married,10,580,46,Marketing,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-580
Divorced,9,581,31,Life Sciences,Male,High School,25 - 34,1,Y,STAFF-581
Married,15,582,33,Medical,Male,High School,25 - 34,0,Y,STAFF-582
Divorced,10,584,33,Medical,Male,High School,25 - 34,0,Y,STAFF-584
Single,7,585,30,Marketing,Male,High School,25 - 34,1,Y,STAFF-585
Married,16,586,35,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-586
Married,20,587,31,Life Sciences,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-587
Divorced,23,590,34,Human Resources,Female,Bachelor's Degree,25 - 34,0,Y,STAFF-590
Married,5,591,42,Other,Male,Associates Degree,35 - 44,1,Y,STAFF-591
Single,10,592,36,Medical,Male,Master's Degree,35 - 44,1,Y,STAFF-592
Single,4,593,22,Technical Degree,Male,High School,Under 25,0,Y,STAFF-593
Married,2,595,48,Marketing,Female,Doctoral Degree,45 - 54,1,Y,STAFF-595
Single,18,597,55,Life Sciences,Female,Doctoral Degree,Over 55,1,Y,STAFF-597
Single,10,599,41,Life Sciences,Male,Associates Degree,35 - 44,1,Y,STAFF-599
Married,1,600,35,Marketing,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-600
Single,6,601,40,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-601
Married,8,602,39,Life Sciences,Female,High School,35 - 44,1,Y,STAFF-602
Single,2,604,31,Life Sciences,Male,High School,25 - 34,1,Y,STAFF-604
Married,24,605,42,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-605
Married,2,606,45,Other,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-606
Divorced,17,608,26,Life Sciences,Female,Master's Degree,25 - 34,0,Y,STAFF-608
Divorced,19,611,29,Technical Degree,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-611
Divorced,1,612,33,Medical,Female,Doctoral Degree,25 - 34,1,Y,STAFF-612
Divorced,7,613,31,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-613
Single,5,614,18,Marketing,Male,Bachelor's Degree,Under 25,0,Y,STAFF-614
Divorced,28,615,40,Other,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-615
Single,2,616,41,Other,Female,Master's Degree,35 - 44,1,Y,STAFF-616
Divorced,29,618,26,Medical,Male,Associates Degree,25 - 34,1,Y,STAFF-618
Single,1,620,35,Medical,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-620
Single,21,621,34,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-621
Single,24,622,26,Technical Degree,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-622
Single,1,623,37,Technical Degree,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-623
Married,18,624,46,Medical,Female,High School,45 - 54,1,Y,STAFF-624
Married,2,625,41,Life Sciences,Female,Doctoral Degree,35 - 44,1,Y,STAFF-625
Divorced,9,626,37,Medical,Male,Master's Degree,35 - 44,1,Y,STAFF-626
Divorced,6,630,52,Technical Degree,Male,Associates Degree,45 - 54,1,Y,STAFF-630
Married,11,631,32,Other,Male,Master's Degree,25 - 34,0,Y,STAFF-631
Married,24,632,24,Medical,Male,Bachelor's Degree,Under 25,1,Y,STAFF-632
Married,10,634,38,Medical,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-634
Married,1,635,37,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-635
Divorced,18,638,49,Life Sciences,Male,Master's Degree,45 - 54,1,Y,STAFF-638
Married,23,639,24,Medical,Male,Bachelor's Degree,Under 25,1,Y,STAFF-639
Married,28,641,26,Marketing,Male,Associates Degree,25 - 34,1,Y,STAFF-641
Married,17,643,24,Other,Male,Associates Degree,Under 25,1,Y,STAFF-643
Married,3,644,50,Medical,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-644
Married,13,645,25,Medical,Male,High School,25 - 34,1,Y,STAFF-645
Married,7,647,24,Life Sciences,Female,Bachelor's Degree,Under 25,0,Y,STAFF-647
Married,12,648,30,Life Sciences,Male,Master's Degree,25 - 34,0,Y,STAFF-648
Married,1,649,34,Life Sciences,Male,Associates Degree,25 - 34,1,Y,STAFF-649
Divorced,13,650,31,Medical,Male,Master's Degree,25 - 34,0,Y,STAFF-650
Single,25,652,35,Other,Male,Associates Degree,35 - 44,1,Y,STAFF-652
Divorced,6,653,31,Medical,Male,Master's Degree,25 - 34,1,Y,STAFF-653
Divorced,6,655,27,Medical,Female,Master's Degree,25 - 34,1,Y,STAFF-655
Married,2,656,37,Marketing,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-656
Single,1,657,20,Life Sciences,Female,Bachelor's Degree,Under 25,1,Y,STAFF-657
Married,2,659,42,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-659
Divorced,6,661,43,Other,Male,Master's Degree,35 - 44,1,Y,STAFF-661
Single,1,662,38,Life Sciences,Female,High School,35 - 44,1,Y,STAFF-662
Divorced,9,663,43,Medical,Male,Doctoral Degree,35 - 44,1,Y,STAFF-663
Married,1,664,48,Life Sciences,Female,Master's Degree,45 - 54,1,Y,STAFF-664
Single,1,665,44,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-665
Divorced,14,666,34,Technical Degree,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-666
Divorced,2,667,27,Marketing,Male,High School,25 - 34,0,Y,STAFF-667
Single,22,669,21,Technical Degree,Male,High School,Under 25,1,Y,STAFF-669
Married,3,671,44,Other,Male,Master's Degree,35 - 44,1,Y,STAFF-671
Married,6,675,22,Medical,Male,High School,Under 25,1,Y,STAFF-675
Divorced,8,677,33,Marketing,Male,Master's Degree,25 - 34,1,Y,STAFF-677
Married,9,679,32,Life Sciences,Female,Master's Degree,25 - 34,1,Y,STAFF-679
Divorced,3,680,30,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-680
Single,1,682,53,Medical,Female,High School,45 - 54,1,Y,STAFF-682
Married,1,683,34,Life Sciences,Male,Doctoral Degree,25 - 34,1,Y,STAFF-683
Married,26,684,45,Life Sciences,Female,Master's Degree,45 - 54,0,Y,STAFF-684
Married,6,686,26,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-686
Married,3,689,37,Other,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-689
Married,3,690,29,Medical,Female,Associates Degree,25 - 34,1,Y,STAFF-690
Single,6,691,35,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-691
Divorced,6,692,33,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-692
Married,19,698,54,Medical,Male,Master's Degree,45 - 54,1,Y,STAFF-698
Divorced,9,699,36,Medical,Male,Associates Degree,35 - 44,1,Y,STAFF-699
Single,3,700,27,Medical,Male,Master's Degree,25 - 34,1,Y,STAFF-700
Single,10,701,20,Medical,Male,High School,Under 25,0,Y,STAFF-701
Single,3,702,33,Life Sciences,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-702
Married,3,704,35,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-704
Married,4,705,23,Medical,Male,Bachelor's Degree,Under 25,1,Y,STAFF-705
Married,8,707,25,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-707
Single,7,709,38,Marketing,Female,Master's Degree,35 - 44,1,Y,STAFF-709
Divorced,1,710,29,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-710
Married,2,712,48,Marketing,Male,High School,45 - 54,1,Y,STAFF-712
Divorced,3,714,27,Medical,Female,High School,25 - 34,1,Y,STAFF-714
Single,10,715,37,Life Sciences,Male,Associates Degree,35 - 44,1,Y,STAFF-715
Married,28,716,50,Medical,Male,High School,45 - 54,1,Y,STAFF-716
Single,9,717,34,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-717
Single,3,720,24,Life Sciences,Female,Associates Degree,Under 25,0,Y,STAFF-720
Single,2,721,39,Technical Degree,Female,Master's Degree,35 - 44,1,Y,STAFF-721
Single,10,722,32,Marketing,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-722
Married,8,723,50,Technical Degree,Male,Associates Degree,45 - 54,0,Y,STAFF-723
Single,1,724,38,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-724
Married,1,725,27,Life Sciences,Female,Associates Degree,25 - 34,1,Y,STAFF-725
Single,3,727,32,Life Sciences,Female,Associates Degree,25 - 34,1,Y,STAFF-727
Single,14,728,47,Marketing,Male,Master's Degree,45 - 54,1,Y,STAFF-728
Married,5,729,40,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-729
Married,7,730,53,Life Sciences,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-730
Divorced,10,731,41,Human Resources,Male,Master's Degree,35 - 44,1,Y,STAFF-731
Single,16,732,60,Marketing,Male,Master's Degree,Over 55,1,Y,STAFF-732
Divorced,10,733,27,Life Sciences,Male,Associates Degree,25 - 34,1,Y,STAFF-733
Married,1,734,41,Human Resources,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-734
Married,8,738,50,Marketing,Male,Master's Degree,45 - 54,1,Y,STAFF-738
Single,1,741,28,Life Sciences,Female,Associates Degree,25 - 34,0,Y,STAFF-741
Married,8,742,36,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-742
Single,1,743,38,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-743
Single,24,744,44,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-744
Divorced,3,746,47,Medical,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-746
Divorced,27,747,30,Marketing,Male,Doctoral Degree,25 - 34,1,Y,STAFF-747
Single,10,749,29,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-749
Divorced,19,752,42,Medical,Male,Bachelor's Degree,35 - 44,0,Y,STAFF-752
Married,15,754,43,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-754
Single,8,757,34,Medical,Female,Associates Degree,25 - 34,1,Y,STAFF-757
Married,9,758,23,Medical,Male,High School,Under 25,1,Y,STAFF-758
Married,3,760,39,Human Resources,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-760
Married,9,762,56,Medical,Male,Bachelor's Degree,Over 55,1,Y,STAFF-762
Single,2,763,40,Medical,Female,High School,35 - 44,1,Y,STAFF-763
Single,7,764,27,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-764
Divorced,10,766,29,Marketing,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-766
Single,6,769,53,Life Sciences,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-769
Divorced,2,771,35,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-771
Married,24,772,32,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-772
Married,2,773,38,Medical,Male,Doctoral Degree,35 - 44,1,Y,STAFF-773
Divorced,8,775,34,Life Sciences,Female,Doctoral Degree,25 - 34,1,Y,STAFF-775
Married,3,776,52,Marketing,Male,Master's Degree,45 - 54,1,Y,STAFF-776
Single,1,780,33,Other,Male,Master's Degree,25 - 34,0,Y,STAFF-780
Single,26,781,25,Medical,Female,High School,25 - 34,1,Y,STAFF-781
Single,2,783,45,Technical Degree,Male,Associates Degree,45 - 54,1,Y,STAFF-783
Single,10,784,23,Medical,Male,High School,Under 25,1,Y,STAFF-784
Single,27,785,47,Life Sciences,Female,Associates Degree,45 - 54,0,Y,STAFF-785
Single,2,786,34,Other,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-786
Married,2,787,55,Medical,Male,Bachelor's Degree,Over 55,0,Y,STAFF-787
Single,8,789,36,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-789
Married,19,791,52,Medical,Male,Master's Degree,45 - 54,1,Y,STAFF-791
Divorced,1,792,26,Life Sciences,Female,Associates Degree,25 - 34,1,Y,STAFF-792
Married,27,793,29,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-793
Single,8,796,26,Technical Degree,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-796
Single,1,797,34,Life Sciences,Female,Master's Degree,25 - 34,1,Y,STAFF-797
Divorced,19,799,54,Medical,Female,Master's Degree,45 - 54,1,Y,STAFF-799
Married,8,800,27,Marketing,Male,High School,25 - 34,1,Y,STAFF-800
Divorced,10,802,37,Life Sciences,Female,High School,35 - 44,1,Y,STAFF-802
Single,2,803,38,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-803
Single,2,804,34,Medical,Female,Master's Degree,25 - 34,1,Y,STAFF-804
Married,8,805,35,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-805
Married,1,806,30,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-806
Married,2,807,40,Medical,Female,Associates Degree,35 - 44,1,Y,STAFF-807
Married,8,808,34,Life Sciences,Female,Associates Degree,25 - 34,1,Y,STAFF-808
Divorced,8,809,42,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-809
Married,6,811,23,Life Sciences,Male,Bachelor's Degree,Under 25,0,Y,STAFF-811
Divorced,9,812,24,Life Sciences,Male,Bachelor's Degree,Under 25,1,Y,STAFF-812
Married,11,813,52,Life Sciences,Female,Master's Degree,45 - 54,1,Y,STAFF-813
Married,2,815,50,Medical,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-815
Married,1,816,29,Life Sciences,Female,Associates Degree,25 - 34,0,Y,STAFF-816
Married,7,817,33,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-817
Single,16,819,33,Marketing,Female,Bachelor's Degree,25 - 34,0,Y,STAFF-819
Married,2,820,47,Other,Female,Associates Degree,45 - 54,1,Y,STAFF-820
Married,1,823,36,Other,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-823
Married,23,824,29,Life Sciences,Male,Associates Degree,25 - 34,1,Y,STAFF-824
Single,2,825,58,Life Sciences,Male,Master's Degree,Over 55,0,Y,STAFF-825
Single,1,826,35,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-826
Married,1,827,42,Life Sciences,Female,Associates Degree,35 - 44,1,Y,STAFF-827
Single,2,828,28,Medical,Male,Master's Degree,25 - 34,0,Y,STAFF-828
Married,13,829,36,Human Resources,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-829
Married,4,830,32,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-830
Single,16,832,40,Medical,Male,Master's Degree,35 - 44,1,Y,STAFF-832
Single,2,833,30,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-833
Single,2,834,45,Life Sciences,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-834
Married,29,836,42,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-836
Divorced,12,837,38,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-837
Single,16,838,34,Life Sciences,Female,Master's Degree,25 - 34,1,Y,STAFF-838
Married,11,840,49,Marketing,Female,Bachelor's Degree,45 - 54,0,Y,STAFF-840
Single,2,842,55,Medical,Male,High School,Over 55,0,Y,STAFF-842
Married,14,843,43,Life Sciences,Male,Associates Degree,35 - 44,1,Y,STAFF-843
Divorced,5,844,27,Technical Degree,Male,High School,25 - 34,1,Y,STAFF-844
Single,7,845,35,Other,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-845
Married,2,846,28,Marketing,Female,Master's Degree,25 - 34,1,Y,STAFF-846
Married,3,847,34,Human Resources,Male,Associates Degree,25 - 34,1,Y,STAFF-847
Married,5,848,26,Medical,Female,Associates Degree,25 - 34,0,Y,STAFF-848
Married,3,850,27,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-850
Married,26,851,51,Marketing,Female,Master's Degree,45 - 54,1,Y,STAFF-851
Single,4,852,44,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-852
Single,2,854,25,Medical,Male,High School,25 - 34,1,Y,STAFF-854
Divorced,1,855,33,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-855
Single,27,856,35,Medical,Female,High School,35 - 44,1,Y,STAFF-856
Married,1,857,36,Life Sciences,Male,Associates Degree,35 - 44,1,Y,STAFF-857
Divorced,13,859,32,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-859
Divorced,5,861,30,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-861
Married,7,862,53,Marketing,Female,Associates Degree,45 - 54,1,Y,STAFF-862
Divorced,9,864,45,Marketing,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-864
Married,8,865,32,Medical,Female,Associates Degree,25 - 34,1,Y,STAFF-865
Married,25,867,52,Medical,Female,Master's Degree,45 - 54,1,Y,STAFF-867
Divorced,16,868,37,Marketing,Male,Master's Degree,35 - 44,1,Y,STAFF-868
Divorced,8,869,28,Medical,Male,Associates Degree,25 - 34,1,Y,STAFF-869
Married,1,872,22,Life Sciences,Male,Associates Degree,Under 25,1,Y,STAFF-872
Married,8,874,44,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-874
Single,2,875,42,Medical,Male,High School,35 - 44,1,Y,STAFF-875
Married,8,878,36,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-878
Married,3,879,25,Other,Male,High School,25 - 34,1,Y,STAFF-879
Married,9,880,35,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-880
Divorced,25,881,35,Life Sciences,Female,Master's Degree,35 - 44,0,Y,STAFF-881
